temp_max,humidity,visibility,cloudiness,wind_speed,rain,OLS,date
81.05,83.0,7884.4375,67.69230769,11.435,1.37,1.9722617688801014,1/1/2023
78.1,86.0,6607.970588,95.29411765,18.10352941,14.09,3.174683242428105,1/2/2023
79.05,75.90625,8445.21875,79.53125,13.549375,5.83,1.69815812142725,1/3/2023
74.08,47.66666667,10000.0,28.79166667,7.06125,0.0,3.1956470314811387,1/4/2023
74.1,50.875,10000.0,21.45833333,5.162916667,0.0,3.099787001930052,1/5/2023
80.11,69.95833333,9770.166667,48.33333333,11.22541667,0.25,1.2063053466924432,1/6/2023
82.06,80.2,9402.48,68.6,10.12,2.73,1.574247896603887,1/7/2023
77.14,80.7,8919.85,73.0,13.8575,92.41,6.865708102158923,1/8/2023
71.11,71.41666667,9985.666667,8.958333333,10.32125,0.0,3.091716977559002,1/9/2023
78.08,83.92,8533.0,77.8,9.07,0.5,2.0324538517322885,1/10/2023
82.04,80.25,9688.791667,60.41666667,14.70958333,0.25,2.2263168714495594,1/11/2023
76.08,68.29166667,10000.0,52.91666667,17.62208333,1.35,2.810540263540416,1/12/2023
63.1,47.79166667,10000.0,9.791666667,17.81875,0.0,4.493512506523793,1/13/2023
66.06,45.5,10000.0,38.54166667,9.498333333,0.0,3.546912184458403,1/14/2023
74.08,73.95833333,10000.0,86.25,15.35291667,0.0,2.628510105575539,1/15/2023
77.0,76.58333333,9861.291667,95.83333333,14.75833333,1.44,2.7450367783563947,1/16/2023
80.06,84.08,6517.6,85.2,9.3648,0.5,3.201580535095814,1/17/2023
78.1,86.0,6513.740741,84.62962963,13.99740741,10.66,2.797851090959176,1/18/2023
73.02,51.66666667,10000.0,16.45833333,8.129583333,0.0,2.720883952848964,1/19/2023
68.65,55.0,9521.84,88.2,12.4196,1.44,3.8319532785296087,1/20/2023
56.05,80.36,9190.92,99.0,12.8948,18.47,3.0866098665474935,1/21/2023
62.58,76.48,9092.0,45.2,10.9452,0.5,2.4843286116751333,1/22/2023
61.02,58.04166667,10000.0,23.54166667,10.71375,0.0,2.8196420481873536,1/23/2023
71.58,83.25714286,6547.827586,95.71428571,21.83685714,107.35,7.902932811888892,1/24/2023
55.11,75.375,10000.0,65.0,16.69625,1.0,3.369556398184113,1/25/2023
59.11,69.66666667,10000.0,18.125,8.700416667,0.0,3.267844599454448,1/26/2023
59.09,56.58333333,10000.0,44.79166667,6.049583333,0.0,3.3669546646430604,1/27/2023
72.05,82.6,8574.933333,98.33333333,15.61533333,8.23,2.2916608758243817,1/28/2023
75.92,87.38235294,7897.764706,94.85294118,14.18558824,27.23,2.2662315417605026,1/29/2023
68.09,88.72,6319.708333,100.0,13.2824,2.22,3.193353866747745,1/30/2023
45.05,93.0,3036.8,100.0,13.69962963,2.04,6.524486039098549,1/31/2023
42.08,89.46666667,7375.666667,98.33333333,14.059,9.22,3.608636906173593,2/1/2023
42.78,90.6097561,5545.463415,96.95121951,11.56121951,18.85,4.242369605149092,2/2/2023
61.02,80.625,8448.541667,70.83333333,11.87,0.25,2.3607189731647087,2/3/2023
66.11,71.04166667,10000.0,6.666666667,8.2725,0.0,3.3560828419672752,2/4/2023
76.08,78.91666667,10000.0,66.45833333,8.879166667,0.0,2.181406082138451,2/5/2023
75.11,80.41666667,10000.0,53.125,15.56666667,0.0,2.8500878749133136,2/6/2023
76.1,81.125,9755.833333,97.5,14.25583333,0.73,2.742803204915767,2/7/2023
79.09,87.17857143,7927.321429,91.25,17.45571429,19.38,2.5402833641461746,2/8/2023
74.08,74.70833333,10000.0,27.91666667,7.865833333,0.75,2.3893925646493686,2/9/2023
69.06,66.83333333,10000.0,47.08333333,11.76041667,0.0,1.90361440137611,2/10/2023
55.06,67.95833333,10000.0,75.20833333,15.28291667,0.0,3.084837035646436,2/11/2023
67.1,68.625,10000.0,30.41666667,6.668333333,0.0,2.5386336505880482,2/12/2023
76.01,70.91666667,10000.0,35.20833333,6.825416667,0.0,2.0091935599317914,2/13/2023
81.05,78.92592593,8872.037037,79.62962963,16.75296296,5.41,2.265278184745605,2/14/2023
78.12,86.38461538,7480.842105,78.65384615,12.28653846,37.32,2.6359194242883763,2/15/2023
75.09,78.59259259,7995.148148,100.0,17.96666667,3.23,2.875045622607317,2/16/2023
55.38,51.125,10000.0,57.70833333,20.22208333,0.0,4.494844180693414,2/17/2023
58.08,53.75,10000.0,16.04166667,10.90625,0.0,3.288248457684016,2/18/2023
77.02,72.95833333,9918.625,53.75,6.746666667,0.0,2.0464723850963473,2/19/2023
