date,temp_max,humidity,visibility,cloudiness,wind_speed,rain
3/23/2023,86.11,81.08333333,7607.409091,84.375,14.85416667,
3/24/2023,84.09,86.73076923,6772.333333,90.73076923,16.21269231,2.36
3/25/2023,87.1,66,8541.043478,40.79166667,7.502916667,0.25
3/26/2023,85.01,70.40740741,6334.62963,66.66666667,7.835185185,3.11
3/27/2023,80.04,90.25,5245.26087,95.91666667,7.335,0.21
3/28/2023,76.1,70.24,9986.24,69.48,14.18,20.25
3/29/2023,74.05,54.08333333,10000,85.20833333,12.75625,4.73
3/30/2023,80.1,81.54166667,8994.375,95.625,15.15041667,0.12
3/31/2023,86.02,82.04166667,8980.913043,83.04166667,16.09708333,0.25
4/1/2023,89.06,68.80769231,7733.64,60.23076923,9.074230769,1.25
4/2/2023,85.08,65.20833333,8501,73.95833333,9.762916667,1.41
4/3/2023,88.11,78.66666667,9150.782609,92.66666667,12.26916667,
4/4/2023,83.1,82.54166667,8276.521739,94.33333333,17.02541667,
4/5/2023,83.03,86.20689655,6583.758621,91.55172414,16.25344828,25.56
4/6/2023,66.18,90.37931034,8391.103448,97.4137931,14.91931034,10.59
4/7/2023,62.58,95.0952381,4974.285714,97.61904762,14.27904762,78.93
4/8/2023,73.11,90.84615385,6540.884615,95.19230769,11.06653846,4.58
4/9/2023,77.05,82.125,9918.625,72.70833333,7.62375,5.33
4/10/2023,71.58,80.58333333,10000,79.58333333,9.925416667,0.1
4/11/2023,78.1,72.29166667,10000,70.875,8.585,0.56
4/12/2023,80.06,73.24,9305.391304,30.68,8.598,6.14
4/13/2023,81.05,74.125,9980.888889,28.04166667,4.984166667,1.11
4/14/2023,79.05,78.54166667,9755.875,57.5,12.27666667,
4/15/2023,91.11,82.5,7907.5,80.84615385,10.89615385,30
4/16/2023,88,52,9985.043478,26.25,15.1325,2.05
4/17/2023,81.1,47.125,10000,7.5,8.620833333,
4/18/2023,83.05,68.65384615,9810.076923,63.26923077,12.46115385,2.11
4/19/2023,86.11,75.125,8419.791667,58.54166667,14.5275,
4/20/2023,80.11,81.70833333,7663.208333,92.08333333,15.15041667,4.39
4/21/2023,81.05,83.2962963,8678.461538,87.51851852,10.66666667,46.13
4/22/2023,80.98,60.79166667,10000,40.41666667,14.97041667,
4/23/2023,76.05,70.16,9972.48,66.8,12.7884,2.27
4/24/2023,77.02,71.33333333,10000,87.5,12.52666667,0.41
4/25/2023,80.98,70.20833333,10000,87.70833333,12.03916667,2.32
4/26/2023,84.06,83.23076923,8254.153846,89.03846154,13.01269231,3.42
4/27/2023,79.09,86.54545455,8035.878788,88.03030303,12.68787879,56.05
4/28/2023,87.12,74.125,10000,7.958333333,7.955833333,
4/29/2023,79.05,76.53846154,9714.96,81.15384615,17.00461538,22.73
4/30/2023,88.05,60.54166667,10000,0.833333333,9.162083333,
5/1/2023,88.11,57.375,10000,10.83333333,7.12,
5/2/2023,84.11,76.95833333,9253.136364,49.41666667,7.309166667,
5/3/2023,88.11,71.875,9985.666667,37.29166667,7.272916667,
5/4/2023,85.1,75.91666667,9779.916667,88.125,10.46916667,1.21
5/5/2023,94.1,80.83333333,8031.833333,79.58333333,11.46,0.2
5/6/2023,92.1,80,8625.48,73.30769231,11.37846154,4.21
5/7/2023,86.05,88.86206897,5874.206897,63.96551724,14.00896552,23.19
5/8/2023,87.03,86.38461538,5981.846154,77.5,14.16538462,1
5/9/2023,78.78,86.84615385,7816.384615,79.61538462,12.00576923,14.13
5/10/2023,77.05,91.78125,6724.5,86.25,10.2671875,89.27
5/11/2023,90.1,84.125,9065.869565,83.95833333,13.08833333,1.06
5/12/2023,91.06,80.5,9320.333333,71.45833333,15.68208333,1.34
