temp_max,humidity,visibility,cloudiness,wind_speed,rain,OLS,date
71.58,83.25714286,6547.827586,95.71428571,21.83685714,107.35,8.144487527192103,1/24/2023
85.05,90.38888889,7094.722222,68.61111111,14.38416667,104.28,7.622633131621754,5/14/2023
77.14,80.7,8919.85,73.0,13.8575,92.41,7.139559284556333,1/8/2023
45.05,93.0,3036.8,100.0,13.69962963,2.04,6.801517855453595,1/31/2023
77.05,91.78125,6724.5,86.25,10.2671875,89.27,6.563210549842639,5/10/2023
62.58,95.0952381,4974.285714,97.61904762,14.27904762,78.93,6.0232469597849585,4/7/2023
75.06,90.76,4629.84,91.6,9.1152,0.68,5.266119083517056,12/23/2023
69.78,89.71052632,4392.157895,96.05263158,14.38552632,38.21,4.959699243994769,11/30/2023
80.04,90.25,5245.26087,95.91666667,7.335,0.21,4.943549113085304,3/27/2023
63.1,47.79166667,10000.0,9.791666667,17.81875,0.0,4.88433881878317,1/13/2023
55.38,51.125,10000.0,57.70833333,20.22208333,0.0,4.884232527982134,2/17/2023
72.09,94.875,4980.1,97.5,10.1545,49.12,4.846245416126205,11/10/2023
73.02,51.96153846,9393.12,51.73076923,19.64961538,19.67,4.737232400842335,12/10/2023
42.78,90.6097561,5545.463415,96.95121951,11.56121951,18.85,4.678437496184362,2/2/2023
61.05,45.29166667,10000.0,64.375,11.69916667,0.25,4.602572349033575,3/19/2023
57.18,66.70833333,10000.0,64.58333333,3.276666667,1.04,4.505910784642699,11/23/2023
64.38,85.85294118,5419.352941,72.79411765,12.25441176,36.07,4.492550978448465,12/16/2023
82.06,88.0,5565.68,87.92307692,9.040769231,1.0,4.48773684428275,2/24/2023
85.01,70.40740741,6334.62963,66.66666667,7.835185185,3.11,4.457235977357699,3/26/2023
102.18,44.45833333,10000.0,39.875,9.561666667,0.0,4.39984320770234,8/16/2023
82.38,90.27272727,8373.69697,86.96969697,11.36969697,53.96,4.385631823908054,10/5/2023
79.09,86.54545455,8035.878788,88.03030303,12.68787879,56.05,4.369107284309439,4/27/2023
76.08,64.6,8924.32,51.0,20.7572,0.84,4.323774366207507,3/3/2023
74.05,54.08333333,10000.0,85.20833333,12.75625,4.73,4.295755800760323,3/29/2023
68.65,55.0,9521.84,88.2,12.4196,1.44,4.283158636291377,1/20/2023
